HISTID,Year,Month,Day,Hour,Minute,P1,P2
7666,2015,12,17,3,5,0.0,0.0
7666,2015,12,17,3,10,0.0,0.0
7666,2015,12,17,3,15,0.0,0.0
7666,2015,12,17,3,20,0.0,0.0
7666,2015,12,17,3,25,0.0,0.0
7666,2015,12,17,3,30,0.0,0.0
7666,2015,12,17,3,35,0.0,0.0
7666,2015,12,17,3,40,0.0,0.0
7666,2015,12,17,3,45,0.0,0.0
7666,2015,12,17,3,50,0.0,0.0
7666,2015,12,17,3,55,0.0,0.0
7666,2015,12,17,4,0,0.0,0.0
7666,2015,12,17,4,5,0.0,0.0
7666,2015,12,17,4,10,0.0,0.0
7666,2015,12,17,4,15,0.0,0.0
7666,2015,12,17,4,20,0.0,0.0
7666,2015,12,17,4,25,0.0,0.0
7666,2015,12,17,4,30,0.0,0.0
7666,2015,12,17,4,35,0.0,0.0
7666,2015,12,17,4,40,0.0,0.0
7666,2015,12,17,4,45,0.0,0.0
7666,2015,12,17,4,50,0.0,0.0
7666,2015,12,17,4,55,0.0,0.0
7666,2015,12,17,5,0,0.0,0.0
7666,2015,12,17,5,5,0.0,0.0
7666,2015,12,17,5,10,0.0,0.0
7666,2015,12,17,5,15,0.0,0.0
7666,2015,12,17,5,20,0.0,0.0
7666,2015,12,17,5,25,0.0,0.0
7666,2015,12,17,5,30,0.0,0.0
7666,2015,12,17,5,35,0.0,0.0
7666,2015,12,17,5,40,0.0,0.0
7666,2015,12,17,5,45,0.0,0.0
7666,2015,12,17,5,50,0.0,0.0
7666,2015,12,17,5,55,0.0,0.0
7666,2015,12,17,6,0,0.0,0.0
7666,2015,12,17,6,5,0.0,0.0
7666,2015,12,17,6,10,0.0,0.0
7666,2015,12,17,6,15,0.0,0.0
7666,2015,12,17,6,20,0.0,0.0
7666,2015,12,17,6,25,0.0,0.0
7666,2015,12,17,6,30,0.0,0.0
7666,2015,12,17,6,35,0.0,0.0
7666,2015,12,17,6,40,0.0,0.0
7666,2015,12,17,6,45,0.0,0.0
7666,2015,12,17,6,50,0.0,0.0
7666,2015,12,17,6,55,0.0,0.0
7666,2015,12,17,7,0,0.0,0.0
7666,2015,12,17,7,5,0.0,0.0
7666,2015,12,17,7,10,0.0,0.0
7666,2015,12,17,7,15,0.0,0.0
7666,2015,12,17,7,20,0.0,0.0
7666,2015,12,17,7,25,0.0,0.0
7666,2015,12,17,7,30,0.0,0.0
7666,2015,12,17,7,35,0.0,0.0
7666,2015,12,17,7,40,0.0,0.0
7666,2015,12,17,7,45,0.0,0.0
7666,2015,12,17,7,50,0.0,0.0
